X1	X2	X3	Y
2.5	0	0	0
173	2	0	0
119	2	0	0
10	2	0	0
502	2	0	0
4	0	0	0
14.4	0	1	0
2	2	0	0
40	2	0	0
6.6	0	0	0
21.4	2	1	0
2.8	0	0	0
2.5	0	0	0
6	0	0	0
3.5	0	1	0
62.2	0	0	1
10.8	0	1	1
21.6	0	1	1
2	0	1	1
3.4	2	1	1
5.1	0	1	1
2.4	0	0	1
1.7	0	1	1
1.1	0	1	1
12.8	0	1	1
1.2	2	0	0
3.5	0	0	0
39.7	0	0	0
62.4	0	0	0
2.4	0	0	0
34.7	0	0	0
28.4	2	0	0
0.9	0	1	0
30.6	2	0	0
5.8	0	1	0
6.1	0	1	0
2.7	2	1	0
4.7	0	0	0
128	2	1	0
35	0	0	0
2	0	0	1
8.5	0	1	1
2	2	1	1
2	0	1	1
4.3	0	1	1
244.8	2	1	1
4	0	1	1
5.1	0	1	1
32	0	1	1
1.4	0	1	1
